56.5195 	EXP 	Target: autoDraw = False
56.5195 	EXP 	image: image = 'incorrect.jpeg'
56.5195 	EXP 	image: autoDraw = True
57.4713 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
57.4869 	EXP 	image: autoDraw = False
57.4869 	EXP 	Target: color = 'green (named)'
57.4869 	EXP 	Target: text = 'green'
57.9696 	EXP 	Target: autoDraw = True
58.1770 	DATA 	Keypress: up
58.1856 	EXP 	Target: autoDraw = False
58.1856 	EXP 	image: image = 'incorrect.jpeg'
58.1856 	EXP 	image: autoDraw = True
59.1534 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
59.1686 	EXP 	image: autoDraw = False
59.1686 	EXP 	Target: color = 'blue (named)'
59.1686 	EXP 	Target: text = 'blue'
59.6528 	EXP 	Target: autoDraw = True
60.1743 	DATA 	Keypress: left
60.2528 	EXP 	Target: autoDraw = False
60.2528 	EXP 	image: image = 'incorrect.jpeg'
60.2528 	EXP 	image: autoDraw = True
61.2049 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
61.2190 	EXP 	image: autoDraw = False
61.2190 	EXP 	Target: color = 'yellow (named)'
61.2190 	EXP 	Target: text = 'yellow'
61.7204 	EXP 	Target: autoDraw = True
61.9965 	DATA 	Keypress: down
62.0045 	EXP 	Target: autoDraw = False
62.0045 	EXP 	image: image = 'incorrect.jpeg'
62.0045 	EXP 	image: autoDraw = True
62.9715 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
62.9866 	EXP 	image: autoDraw = False
62.9866 	EXP 	Target: color = 'yellow (named)'
62.9866 	EXP 	Target: text = 'blue'
63.4701 	EXP 	Target: autoDraw = True
63.8069 	DATA 	Keypress: right
63.8197 	EXP 	Target: autoDraw = False
63.8197 	EXP 	image: image = 'incorrect.jpeg'
63.8197 	EXP 	image: autoDraw = True
64.7886 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
64.8038 	EXP 	image: autoDraw = False
64.8038 	EXP 	Target: color = 'yellow (named)'
64.8038 	EXP 	Target: text = 'red'
65.2872 	EXP 	Target: autoDraw = True
65.6640 	DATA 	Keypress: up
65.6706 	EXP 	Target: autoDraw = False
65.6706 	EXP 	image: image = 'correct.jpeg'
65.6706 	EXP 	image: autoDraw = True
66.6555 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
66.6705 	EXP 	image: autoDraw = False
66.6705 	EXP 	image: autoDraw = False
66.6705 	EXP 	Target: color = 'green (named)'
66.6705 	EXP 	Target: text = 'red'
67.1538 	EXP 	Target: autoDraw = True
67.4296 	DATA 	Keypress: down
67.4367 	EXP 	Target: autoDraw = False
67.4367 	EXP 	image: image = 'correct.jpeg'
67.4367 	EXP 	image: autoDraw = True
68.4220 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
68.4371 	EXP 	image: autoDraw = False
68.4371 	EXP 	image: autoDraw = False
68.4371 	EXP 	Target: color = 'red (named)'
68.4371 	EXP 	Target: text = 'red'
68.9208 	EXP 	Target: autoDraw = True
69.4260 	DATA 	Keypress: right
69.4365 	EXP 	Target: autoDraw = False
69.4365 	EXP 	image: image = 'incorrect.jpeg'
69.4365 	EXP 	image: autoDraw = True
70.4048 	EXP 	New trial (rep=2, index=0): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
70.4209 	EXP 	image: autoDraw = False
70.4209 	EXP 	Target: color = 'red (named)'
70.4209 	EXP 	Target: text = 'red'
70.9043 	EXP 	Target: autoDraw = True
71.3413 	DATA 	Keypress: down
71.3532 	EXP 	Target: autoDraw = False
71.3532 	EXP 	image: image = 'incorrect.jpeg'
71.3532 	EXP 	image: autoDraw = True
72.3222 	EXP 	New trial (rep=2, index=1): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
72.3359 	EXP 	image: autoDraw = False
72.3359 	EXP 	Target: color = 'blue (named)'
72.3359 	EXP 	Target: text = 'red'
72.8205 	EXP 	Target: autoDraw = True
73.3147 	DATA 	Keypress: left
73.3373 	EXP 	Target: autoDraw = False
73.3373 	EXP 	image: image = 'incorrect.jpeg'
73.3373 	EXP 	image: autoDraw = True
74.2720 	EXP 	New trial (rep=2, index=2): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
74.3038 	EXP 	image: autoDraw = False
74.3038 	EXP 	Target: color = 'yellow (named)'
74.3038 	EXP 	Target: text = 'green'
74.8046 	EXP 	Target: autoDraw = True
74.9135 	DATA 	Keypress: escape
76.0855 	EXP 	window1: mouseVisible = True
