81.4154 	EXP 	Target: color = 'yellow (named)'
81.4154 	EXP 	Target: text = 'blue'
81.8991 	EXP 	Target: autoDraw = True
82.3086 	DATA 	Keypress: left
82.3168 	EXP 	Target: autoDraw = False
82.3168 	EXP 	image: image = 'incorrect.jpeg'
82.3168 	EXP 	image: autoDraw = True
83.2841 	EXP 	New trial (rep=2, index=7): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
83.3156 	EXP 	image: autoDraw = False
83.3156 	EXP 	Target: color = 'yellow (named)'
83.3156 	EXP 	Target: text = 'green'
83.7972 	EXP 	Target: autoDraw = True
84.1666 	DATA 	Keypress: down
84.1817 	EXP 	Target: autoDraw = False
84.1817 	EXP 	image: image = 'incorrect.jpeg'
84.1817 	EXP 	image: autoDraw = True
85.1333 	EXP 	New trial (rep=2, index=8): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
85.1484 	EXP 	image: autoDraw = False
85.1484 	EXP 	Target: color = 'blue (named)'
85.1484 	EXP 	Target: text = 'red'
85.6314 	EXP 	Target: autoDraw = True
85.9572 	DATA 	Keypress: right
85.9653 	EXP 	Target: autoDraw = False
85.9653 	EXP 	image: image = 'correct.jpeg'
85.9653 	EXP 	image: autoDraw = True
86.9508 	EXP 	New trial (rep=2, index=9): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
86.9656 	EXP 	image: autoDraw = False
86.9656 	EXP 	image: autoDraw = False
86.9656 	EXP 	Target: color = 'yellow (named)'
86.9656 	EXP 	Target: text = 'red'
87.4496 	EXP 	Target: autoDraw = True
87.8629 	DATA 	Keypress: down
87.8829 	EXP 	Target: autoDraw = False
87.8829 	EXP 	image: image = 'incorrect.jpeg'
87.8829 	EXP 	image: autoDraw = True
88.8341 	EXP 	New trial (rep=3, index=0): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
88.8494 	EXP 	image: autoDraw = False
88.8494 	EXP 	Target: color = 'blue (named)'
88.8494 	EXP 	Target: text = 'blue'
89.3329 	EXP 	Target: autoDraw = True
89.7089 	DATA 	Keypress: down
89.7170 	EXP 	Target: autoDraw = False
89.7170 	EXP 	image: image = 'incorrect.jpeg'
89.7170 	EXP 	image: autoDraw = True
90.6842 	EXP 	New trial (rep=3, index=1): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
90.6995 	EXP 	image: autoDraw = False
90.6995 	EXP 	Target: color = 'red (named)'
90.6995 	EXP 	Target: text = 'red'
91.1831 	EXP 	Target: autoDraw = True
91.5455 	DATA 	Keypress: down
91.5660 	EXP 	Target: autoDraw = False
